projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Sensitive Equality;constructorArray_Null;119-119;119-119
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Lazy Test;constructorIterable_order, constructorIterable_Null, constructorArray_Null; , 95-95 , 96-96 , 97-97 , 106-106 , 107-107 , 117-117 , 118-118; , 95-95 , 96-96 , 97-97 , 106-106 , 107-107 , 117-117 , 118-118
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Lazy Test;constructorIterable_Null, constructorArray_Null; , 108-108 , 119-119; , 108-108 , 119-119
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Eager Test;constructorIterable_Null;106, 108;106, 108
commons-io;CompositeFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/CompositeFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/CompositeFileComparator.java;JUnit5;121;4;Eager Test;constructorArray_Null;117, 119;117, 119
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Resource Optimism;setUp;33-41;33-41
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Resource Optimism;testCaseSensitivity;44-57;44-57
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;48;48
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;49;49
commons-io;PathFileComparatorTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/comparator/PathFileComparatorTest.java;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/comparator/PathFileComparator.java;JUnit5;58;2;Magic Number Test;testCaseSensitivity;50;50
