projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLine,testSmellLineBegin,testSmellLineEnd
commons-io,PathFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\PathFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\PathFileComparator.java,JUnit5,58,2,Resource Optimism,testCaseSensitivity,44,44,57
commons-io,PathFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\PathFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\PathFileComparator.java,JUnit5,58,2,Eager Test,testCaseSensitivity,44,44,57
commons-io,PathFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\PathFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\PathFileComparator.java,JUnit5,58,2,Mystery Guest,testCaseSensitivity,44,44,57
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Resource Optimism,setUp,42,42,81
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Resource Optimism,testNonexistantFile,86,86,91
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Magic Number Test,testCompareDirectorySizes,96,96,101
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Lazy Test,testNonexistantFile,null,null,null
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Lazy Test,testCompareDirectorySizes,null,null,null
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Lazy Test,testCompareDirectorySizes,null,null,null
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Lazy Test,testCompareDirectorySizes,null,null,null
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Eager Test,testCompareDirectorySizes,96,96,101
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Assertion Roulette,testNonexistantFile,86,86,91
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,General Fixture,testNonexistantFile,86,86,91
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,General Fixture,testCompareDirectorySizes,96,96,101
commons-io,SizeFileComparatorTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\comparator\SizeFileComparatorTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\comparator\SizeFileComparator.java,JUnit5,102,7,Mystery Guest,testNonexistantFile,86,86,91
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Unknown Test,testCtor,60,60,64
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Magic Number Test,testCopy_inputStreamToOutputStream,99,99,114
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Magic Number Test,copy_inputStreamToWriter,116,116,132
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Sensitive Equality,testCopy_byteArrayToWriterWithEncoding,90,90,97
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Sensitive Equality,copy_inputStreamToWriterWithEncoding,134,134,141
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_byteArrayToOutputStream,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_byteArrayToWriter,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,testCopy_byteArrayToWriterWithEncoding,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,testCopy_inputStreamToOutputStream,null,null,null
commons-io,CopyUtilsTest,C:\Users\Adriana\github\commons-io\src\test\java\org\apache\commons\io\CopyUtilsTest.java,C:\Users\Adriana\github\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,JUnit5,217,13,Lazy Test,copy_inputStreamToWriter,null,null,null
